city_id,city_name,dates,wind_gust,wind_speed,wind_direction
116,Hamburg,2022-12-29,56.9,34.3,213.3
116,Hamburg,2022-12-30,49.7,36.7,193.7
116,Hamburg,2022-12-31,56.2,28.6,220.4
116,Hamburg,2023-01-01,50.4,36.9,228.2
116,Hamburg,2023-01-02,45,33.7,227.5
116,Hamburg,2023-01-03,34.2,18.8,216.1
116,Hamburg,2023-01-04,59.8,33.4,221.2
116,Hamburg,2023-01-05,64.1,35.6,280.2
116,Hamburg,2023-01-06,45.4,28.3,209.8
116,Hamburg,2023-01-07,28.1,23.5,176.6
116,Hamburg,2023-01-08,33.8,20.6,179.9
116,Hamburg,2023-01-09,30.2,17.2,200.3
116,Hamburg,2023-01-10,40,28.8,211.2
116,Hamburg,2023-01-11,46.1,34.3,207.6
116,Hamburg,2023-01-12,56.2,39.2,219.5
116,Hamburg,2023-01-13,56.9,34.8,227.9
116,Hamburg,2023-01-14,50.8,35.2,205
116,Hamburg,2023-01-15,71.6,47.2,231.6
116,Hamburg,2023-01-16,41,26.9,161.9
116,Hamburg,2023-01-17,66.2,28.5,230.7
116,Hamburg,2023-01-18,33.8,18.7,184.5
116,Hamburg,2023-01-19,39.6,20.9,206.1
116,Hamburg,2023-01-20,27,14.8,229.9
116,Hamburg,2023-01-21,32,12.6,8.4
116,Hamburg,2023-01-22,33.1,14.8,30.8
116,Hamburg,2023-01-23,15.8,7.6,55.6
116,Hamburg,2023-01-24,11.5,7.6,127.8
116,Hamburg,2023-01-25,22,11.9,215.4
116,Hamburg,2023-01-26,20.9,14,279.8
116,Hamburg,2023-01-27,28.1,16.4,40
116,Hamburg,2023-01-28,28.8,14.4,247.4
116,Hamburg,2023-01-29,46.8,30,235.1
116,Hamburg,2023-01-30,69.8,42.5,275.9
116,Hamburg,2023-01-31,67.7,35.1,263.4
116,Hamburg,2023-02-01,61.6,37,272
116,Hamburg,2023-02-02,63.7,38.1,282.9
116,Hamburg,2023-02-03,85.7,44.9,283.7
116,Hamburg,2023-02-04,38.9,12.4,47.8
116,Hamburg,2023-02-05,24.8,19.3,155.4
116,Hamburg,2023-02-06,17.3,10.6,31.9
116,Hamburg,2023-02-07,15.1,10.8,137.3
116,Hamburg,2023-02-08,24.5,22.8,147.1
116,Hamburg,2023-02-09,31,22.3,210.5
116,Hamburg,2023-02-10,46.4,23.8,239.1
116,Hamburg,2023-02-11,54.4,29.5,270.5
116,Hamburg,2023-02-12,26.6,18.3,271.3
116,Hamburg,2023-02-13,21.6,9.4,282.4
116,Hamburg,2023-02-14,20.2,13.4,113.5
116,Hamburg,2023-02-15,13,10.8,155.1
116,Hamburg,2023-02-16,28.8,18.8,217.6
116,Hamburg,2023-02-17,68.8,51.6,254.1
116,Hamburg,2023-02-18,58.7,34.3,275.9
116,Hamburg,2023-02-19,33.1,20.1,283.8
